yaw,pitch,legibile,size,label
-7.23,-43.96,TRUE,10.6,1
35.16,-35.02,FALSE,10.6,0
-53.76,13.63,FALSE,46.1,0
8.56,42.99,FALSE,10.6,0
52.22,23.89,FALSE,75.3,0
-42.9,-14.29,TRUE,75.3,1
-3.07,-22.47,TRUE,17.3,1
52.07,-26.33,FALSE,17.3,0
-34.64,-51.33,FALSE,46.1,0
-21.12,-51.34,FALSE,6.5,0
49.38,-46.22,FALSE,46.1,0
-53.27,41.16,FALSE,17.3,0
-24.23,33.64,FALSE,28.3,0
47.08,38.84,TRUE,201,1
-37.09,5.24,TRUE,46.1,1
-14.71,1.21,TRUE,75.3,1
38.27,-9.8,TRUE,17.3,1
-49.61,-46.75,FALSE,46.1,0
-21.05,-41.14,TRUE,75.3,1
41.14,-36.82,TRUE,17.3,1
-52.41,38.07,FALSE,201,0
-0.65,36.67,FALSE,10.6,0
43.75,27.49,FALSE,6.5,0
-47.2,-4.68,FALSE,17.3,0
15.33,-27.67,FALSE,10.6,0
34.82,-4.2,TRUE,201,1
-32.58,-42.04,TRUE,10.6,1
-12.8,-37.74,TRUE,122.9,1
38.46,-48.04,TRUE,75.3,1
-50.96,28.69,FALSE,122.9,0
-8.62,12.67,TRUE,10.6,1
40.88,24.05,FALSE,6.5,0
-29.36,-4.26,TRUE,122.9,1
-24.13,-11.2,TRUE,17.3,1
43.96,-12.99,FALSE,10.6,0
-53.83,-43.29,FALSE,46.1,0
-15.76,-45.13,TRUE,122.9,1
33.1,-45.87,TRUE,122.9,1
-47.33,24.06,FALSE,122.9,0
5.74,21.74,TRUE,6.5,1
38.37,27.96,TRUE,75.3,1
-30.4,2.82,TRUE,122.9,1
21.52,-20.06,FALSE,6.5,0
31.44,-1.57,TRUE,75.3,1
-54.43,-45.06,FALSE,10.6,0
-19.91,-30.7,TRUE,28.3,1
47.91,-34.91,FALSE,75.3,0
-35.99,31.87,FALSE,17.3,0
18.88,37.55,TRUE,201,1
43.02,16.65,FALSE,6.5,0
-51.9,7.45,FALSE,17.3,0
18.27,-16.67,TRUE,122.9,1
36.24,-8.83,TRUE,46.1,1
-51.66,-44.75,FALSE,10.6,0
-15.39,-35.48,TRUE,201,1
30.04,-52.58,FALSE,17.3,0
-41.66,39.29,FALSE,75.3,0
